회차,추천방식(조건),번호1,번호2,번호3,번호4,번호5,번호6
1127,1,3,7,19,22,34,35
1127,2,1,16,17,26,27,28
1127,3,17,18,24,33,34,44
1128,1,7,14,16,25,27,32
1128,2,9,11,14,30,32,33
1128,3,2,10,15,18,25,34
1129,1,18,19,20,29,35,36
1129,2,10,14,27,34,44,45
1129,3,9,10,22,24,31,33
1130,1,6,19,24,36,38,41
1130,2,3,8,10,22,36,39
1130,3,5,11,17,20,24,37
1131,1,12,21,24,29,33,39
1131,2,9,10,16,30,31,34
1131,3,7,8,11,16,35,36
1132,1,6,15,22,30,35,37
1132,2,6,20,25,28,33,37
1132,3,10,11,12,30,31,35
1133,1,1,4,24,27,29,45
1133,2,3,16,19,21,29,32
1133,3,1,23,25,30,31,38
1134,1,7,22,25,33,35,36
1134,2,7,16,26,34,37,45
1134,3,8,9,10,13,14,43
1135,1,11,20,21,27,28,39
1135,2,14,16,29,34,37,40
1135,3,11,20,24,29,41,44
1136,1,4,13,15,20,34,37
1136,2,5,11,27,30,34,37
1136,3,2,7,19,20,31,38
1137,1,6,21,22,24,37,38
1137,2,7,16,19,21,31,32
1137,3,1,7,8,21,35,45
1138,1,12,18,24,34,38,41
1138,2,13,19,29,36,37,44
1138,3,1,7,15,20,24,44
1139,1,7,22,24,27,37,43
1139,2,6,9,19,22,23,33
1139,3,9,21,25,30,34,35
1140,1,9,17,20,21,33,41
1140,2,6,11,20,31,34,43
1140,3,3,5,26,30,33,34
1141,1,8,9,15,21,22,43
1141,2,6,11,28,32,37,45
1141,3,3,19,22,28,31,38
1142,1,3,19,29,30,39,45
1142,2,1,3,10,26,31,40
1142,3,12,13,15,24,33,35
1143,1,1,1,1,1,1,1
1143,2,1,1,1,1,1,1
1143,3,1,1,1,1,1,1
1144,1,3,5,25,33,34,40
1144,2,6,18,19,20,38,41
1144,3,6,11,16,27,32,34
1145,1,7,9,10,19,40,45
1145,2,1,6,13,25,42,44
1145,3,8,12,18,22,27,40
1146,1,4,16,21,28,30,39
1146,2,7,16,18,23,30,36
1146,3,1,8,21,27,29,44
1147,1,4,20,23,31,32,33
1147,2,3,10,14,20,24,26
1147,3,1,5,17,22,38,40
